,Run Date,Index Name,Company Name,Model,Train R2 Score,Test R2 Score,Close Day 1,Close Day 2,Close Day 3,Close Day 4,Close Day 5,High Day 1,High Day 2,High Day 3,High Day 4,High Day 5,Low Day 1,Low Day 2,Low Day 3,Low Day 4,Low Day 5
0,28-02-2025,AXISBANK.NS,Axis Bank,LSTM,0.993775566,0.948307277,1018.576233,1019.530334,1020.2771,1021.003296,1021.74176,1028.658936,1029.613037,1030.359863,1031.08606,1031.824463,1008.525757,1009.479858,1010.226624,1010.95282,1011.691284
1,28-02-2025,AUBANK.NS,AU Small Finance Bank,LSTM,0.989729151,0.948090473,558.7700806,562.8321533,566.875061,571.0527954,574.9838867,568.6347046,572.6967773,576.7396851,580.9174194,584.8485107,549.335022,553.3970947,557.4400024,561.6177368,565.5488281
2,28-02-2025,TATASTEEL.NS,Tata Steel,LSTM,0.997462001,0.939488139,138.9493713,138.5889282,138.2779694,138.0905151,137.9907379,140.0639191,139.703476,139.3925171,139.2050629,139.1052856,137.9252167,137.5647736,137.2538147,137.0663605,136.9665833
4,28-02-2025,NMDC.NS,NMDC,LSTM,0.996706116,0.924533931,65.08817291,65.04866028,65.00630951,65.01467896,65.0485611,65.71658325,65.67707062,65.63471985,65.64308929,65.67697144,64.49636841,64.45685577,64.414505,64.42287445,64.45675659
5,28-02-2025,SAIL.NS,Steel Authority of India (SAIL),LSTM,0.993936394,0.917036328,105.7583923,105.5781021,105.4371338,105.3061066,105.1686859,107.4289017,107.2486115,107.1076431,106.9766159,106.8391953,104.2629547,104.0826645,103.9416962,103.8106689,103.6732483
3,28-02-2025,HINDALCO.NS,Hindalco Industries,LSTM,0.99351779,0.842875875,624.3898315,607.8442383,592.1636963,579.8259277,569.5978394,630.7683105,614.2227173,598.5421753,586.2044067,575.9763184,618.3223877,601.7767944,586.0962524,573.7584839,563.5303955
6,28-02-2025,APLAPOLLO.NS,APL Apollo Tubes,LSTM,0.99737521,0.819219745,1425.462646,1413.711548,1405.03479,1398.998291,1394.874023,1443.604126,1431.853027,1423.17627,1417.139771,1413.015503,1408.610718,1396.859619,1388.182861,1382.146362,1378.022095
