,Run Date,Index Name,Company Name,Model,Train R2 Score,Test R2 Score,Close Day 1,Close Day 2,Close Day 3,Close Day 4,Close Day 5,High Day 1,High Day 2,High Day 3,High Day 4,High Day 5,Low Day 1,Low Day 2,Low Day 3,Low Day 4,Low Day 5
5,2025-02-14,HINDALCO.NS,Hindalco,LSTM,0.9943352456463507,0.890328575063411,592.923095703125,580.9529418945312,570.5518798828125,562.1176147460938,555.0380859375,599.3072509765625,587.3370971679688,576.93603515625,568.5017700195312,561.4222412109375,586.9005737304688,574.930419921875,564.5293579101562,556.0950927734375,549.0155639648438
15,2025-02-14,SAIL.NS,Steel Authority of India (SAIL),LSTM,0.9938916652126589,0.9095675621970988,108.93185424804688,108.02733612060547,107.09062957763672,106.20048522949219,105.38897705078125,110.59667205810547,109.69215393066406,108.75544738769531,107.86530303955078,107.05379486083984,107.44168090820312,106.53716278076172,105.60045623779297,104.71031188964844,103.8988037109375
11,2025-02-14,TATASTEEL.NS,Tata Steel,LSTM,0.9969397861824244,0.9192025550213241,135.4400177001953,133.30984497070312,131.24583435058594,129.53128051757812,128.1344451904297,136.55181884765625,134.42164611816406,132.35763549804688,130.64308166503906,129.24624633789062,134.42515563964844,132.29498291015625,130.23097229003906,128.51641845703125,127.11958312988281
14,2025-02-14,HINDALCO.NS,Hindalco,LSTM,0.9919049510716061,0.9291268708257819,612.3511352539062,622.78857421875,632.0591430664062,640.2562255859375,647.5188598632812,618.7352905273438,629.1727294921875,638.4432983398438,646.640380859375,653.9030151367188,606.32861328125,616.7660522460938,626.03662109375,634.2337036132812,641.496337890625
0,2025-02-14,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,LSTM,0.9961241784188704,0.9299658153814081,8909.462890625,9161.3662109375,9325.244140625,9414.1474609375,9467.1884765625,8966.6064453125,9218.509765625,9382.3876953125,9471.291015625,9524.33203125,8855.4482421875,9107.3515625,9271.2294921875,9360.1328125,9413.173828125
13,2025-02-14,TATASTEEL.NS,Tata Steel,LSTM,0.9964760069983565,0.9309697087311902,139.01004028320312,140.81227111816406,142.00096130371094,142.9363250732422,143.85366821289062,140.12184143066406,141.924072265625,143.11276245117188,144.04812622070312,144.96546936035156,137.99517822265625,139.7974090576172,140.98609924316406,141.9214630126953,142.83880615234375
10,2025-02-14,TATACONSUM.NS,TATA CONSUM,LSTM,0.9929093480534877,0.9447802863028946,1010.0177612304688,998.6265258789062,986.4699096679688,973.9949951171875,961.603515625,1019.1251831054688,1007.7339477539062,995.5773315429688,983.1024169921875,970.7109375,1001.0572509765625,989.666015625,977.5093994140625,965.0344848632812,952.6430053710938
2,2025-02-14,DRREDDY.NS,drredddy,LSTM,0.986133390860282,0.9474245789295714,1233.2535400390625,1242.4178466796875,1250.2142333984375,1257.3363037109375,1263.955322265625,1243.970947265625,1253.13525390625,1260.931640625,1268.0537109375,1274.6727294921875,1223.355712890625,1232.52001953125,1240.31640625,1247.4384765625,1254.0574951171875
6,2025-02-14,HINDUNILVR.NS,HINDUNILVR.NS,LSTM,0.9745409785166553,0.949162394984594,2305.6083984375,2291.83203125,2277.734375,2263.982421875,2250.54052734375,2328.940185546875,2315.163818359375,2301.066162109375,2287.314208984375,2273.872314453125,2283.17138671875,2269.39501953125,2255.29736328125,2241.54541015625,2228.103515625
8,2025-02-14,NESTLEIND.NS,NESTLEIND,LSTM,0.9905894336030008,0.9520066728392557,2170.980224609375,2165.515625,2159.9501953125,2154.295166015625,2148.4833984375,2190.60986328125,2185.145263671875,2179.579833984375,2173.9248046875,2168.113037109375,2151.768310546875,2146.3037109375,2140.73828125,2135.083251953125,2129.271484375
7,2025-02-14,LTIM.NS,LTIM,LSTM,0.9932035357629039,0.9556997028414345,5508.82177734375,5429.39306640625,5352.05810546875,5276.65625,5203.56640625,5573.607421875,5494.1787109375,5416.84375,5341.44189453125,5268.35205078125,5447.537109375,5368.1083984375,5290.7734375,5215.37158203125,5142.28173828125
3,2025-02-14,HDFCBANK.NS,Hdfc bank,LSTM,0.9886308613450167,0.9641293598178505,1685.1947021484375,1674.55908203125,1665.209716796875,1656.8214111328125,1649.2474365234375,1698.9512939453125,1688.315673828125,1678.96630859375,1670.5780029296875,1663.0040283203125,1671.273681640625,1660.6380615234375,1651.2886962890625,1642.900390625,1635.326416015625
9,2025-02-14,SBILIFE.NS,SBI life,LSTM,0.9913931223135161,0.9651303457175635,1472.801025390625,1469.7001953125,1464.9073486328125,1460.6116943359375,1457.5936279296875,1487.86962890625,1484.768798828125,1479.9759521484375,1475.6802978515625,1472.6622314453125,1458.750732421875,1455.64990234375,1450.8570556640625,1446.5614013671875,1443.5433349609375
12,2025-02-14,HDFCBANK.NS,Hdfc bank,LSTM,0.9865892872844771,0.9676946972089328,1700.533935546875,1707.9365234375,1713.884765625,1719.1474609375,1724.0347900390625,1714.29052734375,1721.693115234375,1727.641357421875,1732.904052734375,1737.7913818359375,1686.6129150390625,1694.0155029296875,1699.9637451171875,1705.2264404296875,1710.11376953125
4,2025-02-14,HDFCLIFE.NS,HDFC life,LSTM,0.9726608289651173,0.9679154712732495,634.1925048828125,638.6865234375,642.9717407226562,647.150634765625,651.2704467773438,642.095703125,646.5897216796875,650.8749389648438,655.0538330078125,659.1736450195312,627.1188354492188,631.6128540039062,635.8980712890625,640.0769653320312,644.19677734375
