S.no,Run Date,Index Name,Company Name,Model,Train R2 Score,Test R2 Score,Day 1,Day 2,Day 3,Day 4,Day 5,Column2
0,11-02-2025,JSWSTEEL.NS,JSW Steel,LSTM,0.9961956541962504,0.8818285149135153,907.7705688476562,894.4152221679688,880.4644775390625,867.3937377929688,855.8887939453125,
1,11-02-2025,HINDALCO.NS,Hindalco,LSTM,0.9942196987845261,0.9171121013968657,604.2843017578125,593.2523193359375,583.6701049804688,575.3544922,567.9711914,
2,11-02-2025,NMDC.NS,NMDC,LSTM,0.9902696502364081,0.9030968709538774,65.32270812988281,65.14140319824219,65.11410522460938,65.19152069091797,65.32360076904297,
3,11-02-2025,HINDZINC.NS,Hindustan Zinc,LSTM,0.9864431398683872,0.9040466798957989,456.86322021484375,436.48077392578125,418.9826354980469,407.5233459472656,400.94097900390625,
,,,,,,,,,,,,
,THE ABOVE IS 150 EPOCH,,,,,,,,,,,
,,,,,,,,,,,,
,Run Date,Index Name,Company Name,Model,Train R2 Score,Test R2 Score,Day 1,Day 2,Day 3,Day 4,Day 5,
0,11-02-2025,JSWSTEEL.NS,JSW Steel,LSTM,0.9958689302425933,0.9318802295950114,916.489502,915.4443359,915.0687866210938,914.8209228515625,914.5751342773438,
1,11-02-2025,HINDALCO.NS,Hindalco,LSTM,0.9897714511709449,0.8407018779277318,595.7183837890625,576.3883666992188,560.0286865234375,545.9000854492188,532.8560791015625,
2,11-02-2025,NMDC.NS,NMDC,LSTM,0.9884192906430697,0.8986260403998055,64.91652679,64.21884918,63.59399414,63.04278564453125,62.550140380859375,
3,11-02-2025,HINDZINC.NS,Hindustan Zinc,LSTM,0.9864658679217706,0.764754226,451.19342041015625,426.1283874511719,408.3680725097656,397.1274719238281,389.8356934,
,,,,,,,,,,,,
,,,,,,,,,,,,
,THE ABOVE IS 250 EPOCH,,,,,,,,,,,
,,,,,,,,,,,,
,Run Date,Index Name,Company Name,Model,Train R2 Score,Test R2 Score,Day 1,Day 2,Day 3,Day 4,Day 5,
0,11-02-2025,JSWSTEEL.NS,JSW Steel,LSTM,0.9966561293426636,0.9255957075875098,913.3388061523438,908.5942993164062,904.4819336,900.7631836,897.2633056640625,
1,11-02-2025,HINDALCO.NS,Hindalco,LSTM,0.9947653370300013,0.9514670105102151,613.4863281,614.1071777,614.8803711,615.6216430664062,616.2729492,
2,11-02-2025,NMDC.NS,NMDC,LSTM,0.9911603857536788,0.9039464540686433,66.29180908203125,66.89476776123047,67.53312683105469,68.13909149169922,68.71025085449219,
3,11-02-2025,HINDZINC.NS,Hindustan Zinc,LSTM,0.9850037234954276,0.7180807444852046,448.1439514160156,424.91192626953125,408.7195129394531,398.0574951171875,389.5477600097656,
,,,,,,,,,,,,
,,,,,,,,,,,,
,THE ABOVE IS 350 EPOCH,,,,,,,,,,,
,,,,,,,,,,,,
,Run Date,Index Name,Company Name,Model,Train R2 Score,Test R2 Score,Day 1,Day 2,Day 3,Day 4,Day 5,
0,11-02-2025,JSWSTEEL.NS,JSW Steel,LSTM,0.9966021118219289,0.9054354959393334,909.0479736328125,899.9392700195312,891.8234863,884.2681274414062,877.0615234,
1,11-02-2025,HINDALCO.NS,Hindalco,LSTM,0.9926229406279551,0.9520730181533771,618.1030883789062,622.1304321289062,625.5220336914062,628.5289916992188,631.5392456054688,
2,11-02-2025,NMDC.NS,NMDC,LSTM,0.9912216368606064,0.8804074519666721,64.94379425048828,64.28433227539062,63.69470215,63.17546463012695,62.71281814575195,
3,11-02-2025,HINDZINC.NS,Hindustan Zinc,LSTM,0.9869809822229513,0.7309889538908978,444.7585449,415.6245117,395.8901367,382.45697021484375,373.0011291503906,
,,,,,,,,,,,,
,,,,,,,,,,,,
,THE ABOVE IS 400 EPOCH,,,,,,,,,,,
,,,,,,,,,,,,
,Run Date,Index Name,Company Name,Model,Train R2 Score,Test R2 Score,Day 1,Day 2,Day 3,Day 4,Day 5,
0,11-02-2025,JSWSTEEL.NS,JSW Steel,LSTM,0.99585269,0.928319537,923.3598022460938,928.3414916992188,932.7340698242188,936.8217773,940.7475586,
1,11-02-2025,HINDALCO.NS,Hindalco,LSTM,0.9950251417971891,0.9326722949610967,606.9911499023438,600.3619384765625,594.4932250976562,589.1733398,584.1032104492188,
2,11-02-2025,NMDC.NS,NMDC,LSTM,0.991304297,0.8798912095806168,65.42463684082031,65.17540740966797,65.01518249511719,64.91746520996094,64.87905883789062,
3,11-02-2025,HINDZINC.NS,Hindustan Zinc,LSTM,0.9867262215537914,0.6469322342061063,442.4564514160156,417.1151428222656,400.02130126953125,387.7088928222656,378.2507019042969,
,,,,,,,,,,,,
,,,,,,,,,,,,
,THE ABOVE IS 450 EPOCH,,,,,,,,,,,
,,,,,,,,,,,,
,Run Date,Index Name,Company Name,Model,Train R2 Score,Test R2 Score,Day 1,Day 2,Day 3,Day 4,Day 5,
0,11-02-2025,JSWSTEEL.NS,JSW Steel,LSTM,0.9962959149306164,0.8771472749498204,904.9678344726562,892.5115966796875,881.6891479492188,871.7303466796875,862.2616577148438,
1,11-02-2025,HINDALCO.NS,Hindalco,LSTM,0.9948486678303959,0.9328772468310794,606.8049316,600.3784790039062,594.6660156,589.5365600585938,584.6851196289062,
2,11-02-2025,NMDC.NS,NMDC,LSTM,0.992215868,0.9109021395658938,65.50382995605469,65.34357452392578,65.28297424316406,65.28538513183594,65.33756256103516,
3,11-02-2025,HINDZINC.NS,Hindustan Zinc,LSTM,0.9866791902482595,0.7695360605374876,447.7027893066406,423.7034606933594,406.54010009765625,394.5846862792969,385.6402893066406,
